shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_1_3,28.678644,77.102219,64,18905.941
shp_1_3,28.678644,77.102219,65,18905.941
shp_1_3,28.677387,77.112289,66,19899.021
shp_1_3,28.677387,77.112289,67,19899.021
shp_1_3,28.676727,77.117332,68,20397.414
shp_1_3,28.676727,77.117332,69,20397.414
shp_1_3,28.676464,77.119354,70,20596.93
shp_1_3,28.675707,77.124763,71,21131.66
shp_1_3,28.675325,77.127693,72,21420.977
shp_1_3,28.675259,77.128288,73,21479.846
shp_1_3,28.675259,77.128288,74,21479.846
shp_1_3,28.675018,77.130463,75,21694.061
shp_1_3,28.674421,77.134918,76,22134.07
shp_1_3,28.674395,77.135254,77,22166.953
shp_1_3,28.674412,77.136955,78,22332.949
shp_1_3,28.674391,77.137703,79,22406.346
shp_1_3,28.674181,77.139671,80,22599.508
shp_1_3,28.673893,77.142052,81,22834.641
shp_1_3,28.673811,77.142548,82,22883.357
shp_1_3,28.673374,77.144051,83,23038.619
shp_1_3,28.67321,77.144524,84,23087.959
shp_1_3,28.67313,77.144951,85,23130.973
shp_1_3,28.672985,77.146126,86,23246.551
shp_1_3,28.672985,77.146126,87,23246.551
shp_1_3,28.6726,77.148773,88,23508.277
shp_1_3,28.67226,77.151215,89,23749.945
shp_1_3,28.672117,77.152184,90,23845.814
shp_1_3,28.671616,77.155296,91,24155.137
shp_1_3,28.671616,77.155296,92,24155.137
shp_1_3,28.671467,77.156258,93,24250.369
shp_1_3,28.671356,77.157036,94,24327.814
shp_1_3,28.67131,77.1577,95,24392.447
shp_1_3,28.671339,77.158203,96,24442.105
shp_1_3,28.671629,77.159828,97,24603.725
shp_1_3,28.671751,77.160606,98,24681.244
shp_1_3,28.671761,77.160889,99,24708.801
shp_1_3,28.671757,77.161308,100,24749.814
shp_1_3,28.671688,77.161743,101,24792.617
shp_1_3,28.670734,77.164101,102,25046.586
shp_1_3,28.670588,77.164711,103,25108.119
shp_1_3,28.67058,77.16494,104,25130.613
shp_1_3,28.670589,77.165215,105,25156.992
shp_1_3,28.67063,77.165703,106,25205.338
shp_1_3,28.670732,77.166122,107,25247.676
shp_1_3,28.670946,77.166565,108,25297.045
shp_1_3,28.671749,77.167961,109,25460.387
shp_1_3,28.67358,77.170204,110,25759.416
shp_1_4,28.697393,76.919182,1,0.0
shp_1_4,28.696844,76.920227,2,119.332
shp_1_4,28.694012,76.925438,3,717.81
shp_1_4,28.692097,76.928986,4,1124.37
shp_1_4,28.69186,76.929482,5,1180.005
shp_1_4,28.691654,76.930107,6,1245.128
shp_1_4,28.69136,76.931137,7,1350.965
shp_1_4,28.691133,76.932053,8,1443.724
shp_1_4,28.690928,76.933205,9,1558.588
shp_1_4,28.690716,76.935448,10,1778.645
shp_1_4,28.690716,76.935448,11,1778.645
shp_1_4,28.690086,76.94175,12,2398.2
shp_1_4,28.689686,76.946167,13,2831.74
shp_1_4,28.689213,76.951157,14,3322.093
shp_1_4,28.689213,76.951157,15,3322.093
shp_1_4,28.689051,76.952888,16,3491.787
shp_1_4,28.688805,76.956314,17,3827.304
shp_1_4,28.688515,76.959564,18,4146.685
shp_1_4,28.688059,76.963028,19,4488.794
shp_1_4,28.687956,76.964073,20,4591.545
shp_1_4,28.687956,76.964073,21,4591.545
shp_1_4,28.687777,76.965973,22,4777.841
shp_1_4,28.68726,76.972,23,5369.309
shp_1_4,28.686789,76.977203,24,5880.063
shp_1_4,28.686789,76.977203,25,5880.063
shp_1_4,28.686571,76.979927,26,6147.246
shp_1_4,28.686005,76.986237,27,6766.656
shp_1_4,28.685717,76.989571,28,7093.66
shp_1_4,28.685572,76.992699,29,7399.459
shp_1_4,28.685499,76.993599,30,7488.136
shp_1_4,28.685499,76.993599,31,7488.136
shp_1_4,28.68396,76.989822,32,7894.935
shp_1_4,28.68396,76.989822,33,7894.935
shp_1_4,28.682547,77.02829,34,11655.173
shp_1_4,28.682547,77.02829,35,11655.173
shp_1_4,28.682421,77.03006,36,11828.709
shp_1_4,28.682426,77.030571,37,11877.984
shp_1_4,28.682381,77.032608,38,12077.461
shp_1_4,28.682301,77.043938,39,13183.712
shp_1_4,28.682301,77.043938,40,13183.712
shp_1_4,28.682209,77.051994,41,13970.798
shp_1_4,28.682196,77.054016,42,14168.194
shp_1_4,28.68219,77.056236,43,14384.952
shp_1_4,28.68219,77.056236,44,14384.952
shp_1_4,28.682203,77.056999,45,14459.591
shp_1_4,28.682232,77.057693,46,14527.14
shp_1_4,28.682314,77.058182,47,14575.814
shp_1_4,28.682379,77.058693,48,14626.239
shp_1_4,28.682415,77.059128,49,14668.947
shp_1_4,28.682392,77.064728,50,15215.79
shp_1_4,28.682392,77.064728,51,15215.79
shp_1_4,28.682335,77.070862,52,15814.978
shp_1_4,28.682299,77.071381,53,15865.635
shp_1_4,28.682049,77.072624,54,15990.538
shp_1_4,28.681953,77.073311,55,16058.181
shp_1_4,28.68187,77.073997,56,16126.143
shp_1_4,28.68187,77.073997,57,16126.143
shp_1_4,28.681339,77.078705,58,16589.707
shp_1_4,28.681339,77.078705,59,16589.707
shp_1_4,28.680132,77.089417,60,17644.396
shp_1_4,28.679792,77.092667,61,17964.164
shp_1_4,28.679792,77.092667,62,17964.164
shp_1_4,28.679724,77.093864,63,18081.041
shp_1_4,28.678644,77.102219,64,18905.941
shp_1_4,28.678644,77.102219,65,18905.941
shp_1_4,28.677387,77.112289,66,19899.021
shp_1_4,28.677387,77.112289,67,19899.021
shp_1_4,28.676727,77.117332,68,20397.414
shp_1_4,28.676727,77.117332,69,20397.414
shp_1_4,28.676464,77.119354,70,20596.93
shp_1_4,28.675707,77.124763,71,21131.66
shp_1_4,28.675325,77.127693,72,21420.977
shp_1_4,28.675259,77.128288,73,21479.846
shp_1_4,28.675259,77.128288,74,21479.846
shp_1_4,28.675018,77.130463,75,21694.061
shp_1_4,28.674421,77.134918,76,22134.07
shp_1_4,28.674395,77.135254,77,22166.953
shp_1_4,28.674412,77.136955,78,22332.949
shp_1_4,28.674391,77.137703,79,22406.346
shp_1_4,28.674181,77.139671,80,22599.508
shp_1_4,28.673893,77.142052,81,22834.641
shp_1_4,28.673811,77.142548,82,22883.357
shp_1_4,28.673374,77.144051,83,23038.619
shp_1_4,28.67321,77.144524,84,23087.959
shp_1_4,28.67313,77.144951,85,23130.973
shp_1_4,28.672985,77.146126,86,23246.551
shp_1_4,28.672985,77.146126,87,23246.551
shp_1_4,28.6726,77.148773,88,23508.277
shp_1_4,28.67226,77.151215,89,23749.945
shp_1_4,28.672117,77.152184,90,23845.814
shp_1_4,28.671616,77.155296,91,24155.137
shp_1_4,28.671616,77.155296,92,24155.137
shp_1_4,28.671467,77.156258,93,24250.369
shp_1_4,28.671391,77.15657,94,24282.088
shp_1_4,28.671215,77.157639,95,24388.547
shp_1_4,28.67112,77.158119,96,24436.467
shp_1_4,28.670954,77.158882,97,24513.355
shp_1_4,28.670712,77.159584,98,24586.707
shp_1_4,28.670435,77.160294,99,24662.439
shp_1_4,28.669729,77.161888,100,24837.063
shp_1_4,28.669275,77.162956,101,24953.377
shp_1_4,28.669092,77.16333,102,24994.6
shp_1_4,28.668823,77.163681,103,25040.465
shp_1_4,28.66855,77.163963,104,25081.6
shp_1_4,28.668213,77.1642,105,25125.574
shp_1_4,28.66799,77.164307,106,25152.592
shp_1_4,28.667608,77.164421,107,25196.35
shp_1_4,28.667316,77.164459,108,25229.086
shp_1_4,28.666842,77.164482,109,25282.021
shp_1_4,28.666374,77.164383,110,25335.068
shp_1_4,28.66592,77.164146,111,25390.391
shp_1_4,28.665527,77.163795,112,25446.178
shp_1_4,28.66518,77.163361,113,25503.627
shp_1_4,28.664938,77.162918,114,25554.381
shp_1_4,28.664307,77.161598,115,25701.273
shp_1_4,28.663956,77.160995,116,25771.652
shp_1_4,28.663025,77.15934,117,25964.113
shp_1_4,28.662035,77.157715,118,26157.119
shp_1_4,28.662035,77.157715,119,26157.119
shp_1_4,28.655773,77.148499,120,27295.777
shp_1_7,28.552322,77.056198,1,0.0
shp_1_7,28.554869,77.087921,2,3114.793
shp_1_7,28.554869,77.087921,3,3114.793
shp_1_7,28.548798,77.120811,4,6400.838
shp_1_7,28.548798,77.120811,5,6400.838
shp_1_7,28.548737,77.122108,6,6528.09
shp_1_7,28.54891,77.123428,7,6658.549
shp_1_7,28.549776,77.125618,8,6893.389
shp_1_7,28.552006,77.129189,9,7321.795
shp_1_7,28.552691,77.13018,10,7444.988
shp_1_7,28.553484,77.130905,11,7558.223
shp_1_7,28.554585,77.131485,12,7693.285
shp_1_7,28.555759,77.131935,13,7831.31
shp_1_7,28.558853,77.132942,14,8189.379
shp_1_7,28.559397,77.133095,15,8251.739
shp_1_7,28.560162,77.133202,16,8337.607
shp_1_7,28.560925,77.133209,17,8422.538
shp_1_7,28.561577,77.133148,18,8495.36
shp_1_7,28.562078,77.133064,19,8551.892
shp_1_7,28.563389,77.132713,20,8701.43
shp_1_7,28.564045,77.13253,21,8776.778
shp_1_7,28.564697,77.132393,22,8850.785
shp_1_7,28.565376,77.132286,23,8926.858
shp_1_7,28.565994,77.132263,24,8995.768
shp_1_7,28.566608,77.132301,25,9064.326
shp_1_7,28.567276,77.132431,26,9139.559
shp_1_7,28.567884,77.132576,27,9208.801
shp_1_7,28.568487,77.13279,28,9279.135
shp_1_7,28.569002,77.133034,29,9341.203
shp_1_7,28.569508,77.133331,30,9404.66
shp_1_7,28.569874,77.133583,31,9452.293
shp_1_7,28.57024,77.133873,32,9501.814
shp_1_7,28.570784,77.134384,33,9580.045
shp_1_7,28.571236,77.134857,34,9648.561
shp_1_7,28.571629,77.135414,35,9718.154
shp_1_7,28.572409,77.136612,36,9864.012
shp_1_7,28.573057,77.137566,37,9982.191
shp_1_7,28.573666,77.13868,38,10110.157
shp_1_7,28.574034,77.139481,39,10198.764
shp_1_7,28.574402,77.140327,40,10291.032
shp_1_7,28.574768,77.141075,41,10375.069
shp_1_7,28.575207,77.141739,42,10456.448
shp_1_7,28.575628,77.142288,43,10527.311
shp_1_7,28.576099,77.142761,44,10597.099
shp_1_7,28.576504,77.143105,45,10653.434
shp_1_7,28.576857,77.143379,46,10700.977
shp_1_7,28.577188,77.143585,47,10743.068
shp_1_7,28.577904,77.143951,48,10830.245
shp_1_7,28.578667,77.144226,49,10919.438
shp_1_7,28.580721,77.144928,50,11158.153
shp_1_7,28.582943,77.145584,51,11413.704
shp_1_7,28.583633,77.145866,52,11495.448
shp_1_7,28.584211,77.146179,53,11566.805
shp_1_7,28.584763,77.146553,54,11638.124
shp_1_7,28.58526,77.14695,55,11705.686
shp_1_7,28.585741,77.147408,56,11775.398
shp_1_7,28.58614,77.147881,57,11839.504
shp_1_7,28.586727,77.14872,58,11944.596
shp_1_7,28.587231,77.149681,59,12053.479
shp_1_7,28.588085,77.151665,60,12270.052
shp_1_7,28.589739,77.155724,61,12707.313
shp_1_7,28.590046,77.156555,62,12795.431
shp_1_7,28.590302,77.157379,63,12880.92
shp_1_7,28.590803,77.159088,64,13056.693
shp_1_7,28.59189,77.161705,65,13339.684
shp_1_7,28.59189,77.161705,66,13339.684
shp_1_7,28.59247,77.163155,67,13495.599
shp_1_7,28.592728,77.163643,68,13551.232
shp_1_7,28.59297,77.16404,69,13598.591
shp_1_7,28.593254,77.164452,70,13649.536
shp_1_7,28.593513,77.16478,71,13692.93
shp_1_7,28.593807,77.1651,72,13738.264
shp_1_7,28.594496,77.165695,73,13834.28
shp_1_7,28.595152,77.1661,74,13917.417
shp_1_7,28.595518,77.166313,75,13963.107
shp_1_7,28.595917,77.166466,76,14010.009
shp_1_7,28.596498,77.166641,77,14076.774
shp_1_7,28.597118,77.166748,78,14146.686
shp_1_7,28.598423,77.166916,79,14292.815
shp_1_7,28.599224,77.167137,80,14384.667
shp_1_7,28.599625,77.16729,81,14431.521
shp_1_7,28.600035,77.167465,82,14480.338
shp_1_7,28.603022,77.169266,83,14856.591
shp_1_7,28.604239,77.169991,84,15009.351
shp_1_7,28.605604,77.170723,85,15177.53
shp_1_7,28.606241,77.170982,86,15252.852
shp_1_7,28.607693,77.171478,87,15421.308
shp_1_7,28.608099,77.171677,88,15470.669
shp_1_7,28.608824,77.172066,89,15560.035
shp_1_7,28.609478,77.172523,90,15645.194
shp_1_7,28.610645,77.173492,91,15806.29
shp_1_7,28.611425,77.174095,92,15911.147
shp_1_7,28.61277,77.175789,93,16134.093
shp_1_7,28.614252,77.178238,94,16425.049
shp_1_7,28.615776,77.18161,95,16795.664
shp_1_7,28.621347,77.194427,96,18193.076
shp_1_7,28.628147,77.209602,97,19857.766
shp_1_7,28.628147,77.209602,98,19857.766
shp_1_7,28.630419,77.214653,99,20412.809
shp_1_7,28.631058,77.215477,100,20520.117
shp_1_7,28.631542,77.215866,101,20586.096
shp_1_7,28.642464,77.223076,102,21991.313
shp_1_5,28.4932,77.30085,1,0.0
shp_1_5,28.502377,77.299187,2,1034.348
shp_1_5,28.502377,77.299187,3,1034.348
shp_1_5,28.504316,77.300003,4,1264.495
shp_1_5,28.505013,77.300247,5,1345.578
shp_1_5,28.50535,77.300285,6,1383.446
shp_1_5,28.505629,77.300285,7,1414.504
shp_1_5,28.505905,77.300247,8,1445.482
shp_1_5,28.506157,77.300186,9,1474.076
shp_1_5,28.506409,77.300102,10,1503.278
shp_1_5,28.508617,77.299103,11,1767.821
shp_1_5,28.514328,77.296745,12,2444.313
shp_1_5,28.515501,77.296227,13,2584.246
shp_1_5,28.51692,77.295662,14,2751.636
shp_1_5,28.518137,77.295151,15,2896.051
shp_1_5,28.518751,77.294922,16,2967.905
shp_1_5,28.519701,77.29454,17,3080.066
shp_1_5,28.519701,77.29454,18,3080.066
shp_1_5,28.520441,77.294136,19,3171.403
shp_1_5,28.520897,77.293854,20,3229.125
shp_1_5,28.522152,77.293236,21,3381.448
shp_1_5,28.524748,77.291916,22,3697.736
shp_1_5,28.52511,77.291649,23,3746.073
shp_1_5,28.525406,77.291374,24,3788.4
shp_1_5,28.525759,77.291023,25,3840.899
shp_1_5,28.526123,77.290649,26,3895.172
shp_1_5,28.527206,77.289429,27,4064.944
shp_1_5,28.527803,77.288849,28,4152.627
shp_1_5,28.528605,77.288399,29,4252.055
shp_1_5,28.528605,77.288399,30,4252.055
shp_1_5,28.538084,77.285538,31,5343.622
shp_1_5,28.538084,77.285538,32,5343.622
shp_1_5,28.543238,77.275696,33,6464.058
shp_1_5,28.543238,77.275696,34,6464.058
shp_1_5,28.542109,77.27356,35,6707.83
shp_1_5,28.541882,77.273048,36,6763.892
shp_1_5,28.540958,77.270714,37,7014.608
shp_1_5,28.540352,77.269356,38,7163.492
shp_1_5,28.540241,77.268974,39,7202.662
shp_1_5,28.54018,77.268555,40,7243.991
shp_1_5,28.540182,77.268028,41,7295.449
shp_1_5,28.540245,77.267548,42,7343.292
shp_1_5,28.540344,77.267143,43,7384.417
shp_1_5,28.540487,77.266762,44,7424.616
shp_1_5,28.540678,77.266403,45,7465.661
shp_1_5,28.540874,77.266121,46,7501.302
shp_1_5,28.541082,77.265877,47,7534.264
shp_1_5,28.541401,77.265594,48,7579.13
shp_1_5,28.541666,77.265434,49,7612.541
shp_1_5,28.542225,77.265175,50,7679.853
shp_1_5,28.544359,77.264214,51,7935.418
shp_1_5,28.544359,77.264214,52,7935.418
shp_1_5,28.5459,77.263611,53,8116.694
shp_1_5,28.546289,77.263306,54,8169.433
shp_1_5,28.546667,77.262825,55,8232.491
shp_1_5,28.547377,77.261642,56,8372.398
shp_1_5,28.54829,77.260277,57,8540.417
shp_1_5,28.549017,77.259506,58,8651.021
shp_1_5,28.549461,77.259071,59,8716.226
shp_1_5,28.549461,77.259071,60,8716.226
shp_1_5,28.550011,77.258667,61,8788.694
shp_1_5,28.550819,77.258125,62,8893.344
shp_1_5,28.551105,77.257835,63,8935.83
shp_1_5,28.551298,77.257568,64,8970.022
shp_1_5,28.551502,77.257271,65,9006.401
shp_1_5,28.551712,77.256866,66,9052.844
shp_1_5,28.551817,77.256447,67,9095.501
shp_1_5,28.551891,77.256027,68,9137.015
shp_1_5,28.551912,77.255508,69,9188.004
shp_1_5,28.551849,77.254967,70,9241.362
shp_1_5,28.551746,77.254433,71,9294.889
shp_1_5,28.551664,77.254082,72,9330.622
shp_1_5,28.551491,77.253059,73,9432.382
shp_1_5,28.551405,77.252258,74,9510.85
shp_1_5,28.551392,77.25174,75,9561.765
shp_1_5,28.551392,77.25174,76,9561.765
shp_1_5,28.554617,77.239738,77,10788.957
shp_1_5,28.554617,77.239738,78,10788.957
shp_1_5,28.564405,77.23423,79,12004.348
shp_1_5,28.564405,77.23423,80,12004.348
shp_1_5,28.570898,77.233101,81,12735.43
shp_1_5,28.570898,77.233101,82,12735.43
shp_1_5,28.583036,77.239288,83,14216.066
shp_1_5,28.583036,77.239288,84,14216.066
shp_1_5,28.583334,77.239197,85,14250.305
shp_1_5,28.584496,77.238266,86,14408.438
shp_1_5,28.584906,77.237923,87,14465.089
shp_1_5,28.587463,77.234352,88,14915.656
shp_1_5,28.588228,77.233757,89,15018.723
shp_1_5,28.590504,77.233185,90,15278.069
shp_1_5,28.590504,77.233185,91,15278.069
shp_1_5,28.590879,77.233093,92,15320.787
shp_1_5,28.595345,77.231651,93,15837.467
shp_1_5,28.601507,77.230133,94,16539.352
shp_1_5,28.60178,77.229805,95,16583.393
shp_1_5,28.602224,77.229111,96,16667.717
shp_1_5,28.602224,77.229111,97,16667.717
shp_1_5,28.605112,77.224556,98,17216.832
shp_1_5,28.614218,77.212715,99,18754.902
shp_1_5,28.614508,77.212509,100,18793.227
shp_1_5,28.614796,77.212402,101,18826.908
shp_1_5,28.615877,77.212303,102,18947.555
shp_1_5,28.615877,77.212303,103,18947.555
shp_1_5,28.627817,77.218956,104,20427.17
shp_1_5,28.627817,77.218956,105,20427.17
shp_1_5,28.625542,77.234192,106,21937.559
shp_1_5,28.625542,77.234192,107,21937.559
shp_1_5,28.625414,77.236679,108,22180.449
shp_1_5,28.625523,77.23761,109,22272.176
shp_1_5,28.625753,77.238297,110,22344.072
shp_1_5,28.626163,77.239044,111,22430.535
shp_1_5,28.626524,77.239632,112,22500.332
shp_1_5,28.627089,77.240395,113,22597.979
shp_1_5,28.627522,77.240799,114,22660.195
shp_1_5,28.62793,77.240982,115,22709.059
shp_1_5,28.628195,77.241013,116,22738.662
shp_1_5,28.628195,77.241013,117,22738.662
shp_1_5,28.636002,77.241219,118,23607.984
shp_1_5,28.637209,77.241249,119,23742.414
shp_1_5,28.637856,77.241173,120,23814.844
shp_1_5,28.638529,77.240974,121,23892.057
shp_1_5,28.639208,77.240753,122,23970.73
shp_1_5,28.640108,77.240501,123,24073.73
shp_1_5,28.640511,77.240372,124,24120.412
shp_1_5,28.640511,77.240372,125,24120.412
shp_1_5,28.640814,77.24028,126,24155.426
shp_1_5,28.643696,77.239906,127,24478.424
shp_1_5,28.64418,77.239876,128,24532.256
shp_1_5,28.647596,77.239403,129,24915.598
shp_1_5,28.648304,77.239113,130,24999.029
shp_1_5,28.649202,77.238251,131,25129.658
shp_1_5,28.650017,77.23764,132,25238.465
shp_1_5,28.650017,77.23764,133,25238.465
shp_1_5,28.651068,77.236855,134,25378.35
shp_1_5,28.651281,77.236702,135,25406.221
shp_1_5,28.651968,77.236481,136,25485.752
shp_1_5,28.652569,77.236313,137,25554.604
shp_1_5,28.653423,77.236259,138,25649.752
shp_1_5,28.655861,77.236465,139,25921.814
shp_1_5,28.656563,77.23658,140,26000.941
shp_1_5,28.657484,77.236633,141,26103.506
shp_1_5,28.657484,77.236633,142,26103.506
shp_1_5,28.658831,77.23671,143,26253.707
shp_1_5,28.65959,77.236496,144,26340.545
shp_1_5,28.660395,77.23597,145,26443.824
shp_1_5,28.660902,77.235649,146,26508.609
shp_1_5,28.66111,77.235405,147,26541.775
shp_1_5,28.663746,77.231522,148,27021.107
shp_1_5,28.663958,77.231339,149,27050.91
shp_1_5,28.666374,77.229721,150,27363.014
shp_1_5,28.668659,77.228027,151,27666.271
shp_1_6,28.675854,77.321518,1,0.0
shp_1_6,28.675865,77.320732,2,76.258
shp_1_6,28.675917,77.320175,3,131.177
shp_1_6,28.676041,77.318619,4,283.583
shp_1_6,28.67606,77.317772,5,366.637
shp_1_6,28.676043,77.317245,6,417.766
shp_1_6,28.676004,77.316811,7,460.798
shp_1_6,28.675919,77.31604,8,536.97
shp_1_6,28.675865,77.31543,9,596.486
shp_1_6,28.675751,77.312393,10,893.313
shp_1_6,28.675751,77.312393,11,893.313
shp_1_6,28.675709,77.309868,12,1139.769
shp_1_6,28.675735,77.308464,13,1277.326
shp_1_6,28.675505,77.303551,14,1757.508
shp_1_6,28.675421,77.302597,15,1851.439
shp_1_6,28.675417,77.301178,16,1989.983
shp_1_6,28.675417,77.301178,17,1989.983
shp_1_6,28.675421,77.299751,18,2129.35
shp_1_6,28.675398,77.299484,19,2155.589
shp_1_6,28.675358,77.299202,20,2183.282
shp_1_6,28.67528,77.298904,21,2213.817
shp_1_6,28.675152,77.298523,22,2253.733
shp_1_6,28.674551,77.297333,23,2387.867
shp_1_6,28.674368,77.29689,24,2435.656
