stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
176,,Punjabi Bagh West,,28.672747,77.139183
177,,ESI Basai Darapur,,28.658159,77.127319
178,,Mayapuri,,28.637098,77.129738
179,,Naraina Vihar,,28.624121,77.136482
180,,Delhi Cantt.,,28.608641,77.140373
181,,Durgabai Deshmukh South Campus,,28.589376,77.169518
182,,Nehru Enclave,,28.545856,77.25116
183,,Greater Kailash,,28.541836,77.238243
184,,Chirag Delhi,,28.541229,77.229385
185,,Panchsheel Park,,28.542339,77.220512
186,,IIT,,28.547194,77.193832
187,,RK Puram,,28.550486,77.184952
188,,Munirka,,28.557821,77.174026
189,,Vasant Vihar,,28.558378,77.160774
190,,Shankar Vihar,,28.560787,77.140442
191,,Terminal 1- IGI Airport,,28.565275,77.122391
192,,Sadar Bazar Contonment,,28.577108,77.111305
193,,Palam,,28.589067,77.082954
194,,Dashrath Puri,,28.602333,77.08255
195,,Dabri Mor - Janakpuri South,,28.615904,77.085258
196,,Mundka Industrial Area (M.I.A),,28.68396,76.989822
197,,Ghevra Metro station,,28.685289,76.993584
198,,Tikri Kalan,,28.686899,76.977249
199,,Tikri Border,,28.687876,76.963783
200,,Pandit Shree Ram Sharma,,28.689213,76.951088
201,,Bahadurgarh City,,28.690784,76.935265
202,,Brigadier Hoshiyar Singh,,28.697428,76.919128
203,,Sir Vishweshwaraiah Moti Bagh,,28.578529,77.175713
204,,Bhikaji Cama Place,,28.570208,77.187866
205,,Sarojini Nagar,,28.570208,77.187866
206,,South Extension,,28.5686,77.219818
207,,Trilokpuri Sanjay Lake,,28.613506,77.308678
208,,East Vinod Nagar - Mayur Vihar-II,,28.620052,77.305588
209,,Mandawali - West Vinod Nagar,,28.624861,77.304146
210,,IP Extension,,28.631599,77.310898
211,,Karkarduma Court,,28.649473,77.295341
212,,Krishna Nagar,,28.65782,77.290306
213,,East Azad Nagar,,28.665043,77.284599
214,,Jafrabad,,28.682943,77.27507
215,,Maujpur - Babarpur,,28.692057,77.280922
216,,Gokulpuri,,28.703009,77.286301
217,,Johri Enclave,,28.713297,77.290154
218,,Shiv Vihar,,28.721863,77.289635
219,,Sant Surdas (Sihi),,28.354666,77.316261
220,,Raja Nahar Singh,,28.339899,77.331657
221,,Vinobapuri,,28.566179,77.249367
222,,Ashram,,28.576065,77.25753
223,,Sarai Kale Khan - Nizamuddin,,28.5889,77.253189
224,,Mayur Vihar Pocket 1,,28.606598,77.296326
225,,Shaheed Sthal (New Bus Adda),,28.670177,77.416031
226,,Hindon River,,28.673508,77.40654
227,,Arthala,,28.6772,77.391876
228,,Mohan Nagar,,28.67856,77.384209
229,,Shyam Park,,28.678217,77.370911
230,,Major Mohit Sharma Rajender Nagar,,28.678095,77.359528
231,,Raj Bagh,,28.677122,77.346466
232,,Shaheed Nagar,,28.676615,77.333809
233,,Noida Sec-34,,28.580229,77.363518
234,,Noida Sec-52,,28.586849,77.372749
235,,Noida Sec-61,,28.597677,77.372368
236,,Noida Sec-59,,28.609089,77.372955
237,,Noida Sec-62,,28.616991,77.373611
238,,Noida Electronic City,,28.628685,77.375229
239,,Nangli,,28.61722,77.010345
240,,Najafgarh,,28.613316,76.986259
241,,Dhansa Bus Stand,,28.611858,76.975426
500,,Noida Sector 51,,28.585548,77.375374
501,,Noida Sector 50,,28.574547,77.378357
502,,Noida Sector 76,,28.565445,77.37973
503,,Noida Sector 101,,28.556065,77.385056
504,,Noida Sector 81,,28.549259,77.390099
505,,NSEZ,,28.532248,77.394951
506,,Noida Sector 83,,28.522284,77.396477
507,,Noida Sector 137,,28.510817,77.403625
508,,Noida Sector 142,,28.498999,77.412567
509,,Noida Sector 143,,28.494246,77.422318
510,,Noida Sector 144,,28.486376,77.432968
511,,Noida Sector 145,,28.47913,77.442307
512,,Noida Sector 146,,28.468822,77.455101
513,,Noida Sector 147,,28.4594,77.465965
514,,Noida Sector 148,,28.448021,77.476692
515,,Knowledge Park,,28.456865,77.500298
516,,Pari Chowk,,28.463331,77.508308
517,,Alpha 1,,28.470879,77.512718
518,,Delta 1,,28.478374,77.525581
519,,GNIDA Office,,28.484531,77.536621
520,,Depot Station,,28.488651,77.544075
